year,type,age,number_reported,number_passed,passing_rate
2006,Cars,1,455,432,94.9
2006,Cars,2,1082,1026,94.8
2006,Cars,3,73558,68432,93
2006,Cars,4,627,560,89.3
2006,Cars,5,17963,16716,93.1
2006,Cars,6,231,209,90.5
2006,Cars,7,4751,4377,92.1
2006,Cars,8,231,212,91.8
2006,Cars,9,2010,1859,92.5
2006,Cars,10,869,763,87.8
2006,Cars,>10,35443,29226,82.5
2006,Motorcycles,1,343,329,95.9
2006,Motorcycles,2,577,541,93.8
2006,Motorcycles,3,16235,15066,92.8
2006,Motorcycles,4,15695,14686,93.6
2006,Motorcycles,5,12434,11456,92.1
2006,Motorcycles,6,9436,8720,92.4
2006,Motorcycles,7,7353,6819,92.7
2006,Motorcycles,8,6261,5793,92.5
2006,Motorcycles,9,4441,4128,93
2006,Motorcycles,10,2589,2396,92.5
2006,Motorcycles,>10,27628,25300,91.6
2006,Scheduled Buses,1,39,39,100
2006,Scheduled Buses,2,36,36,100
2006,Scheduled Buses,3,33,33,100
2006,Scheduled Buses,4,47,47,100
2006,Scheduled Buses,5,131,131,100
2006,Scheduled Buses,6,203,203,100
2006,Scheduled Buses,7,137,137,100
2006,Scheduled Buses,8,130,130,100
2006,Scheduled Buses,9,269,269,100
2006,Scheduled Buses,10,519,519,100
2006,Scheduled Buses,>10,2285,2285,100
2006,Other Buses,1,870,743,85.4
2006,Other Buses,2,723,624,86.3
2006,Other Buses,3,751,656,87.4
2006,Other Buses,4,614,520,84.7
2006,Other Buses,5,966,808,83.6
2006,Other Buses,6,894,743,83.1
2006,Other Buses,7,771,611,79.2
2006,Other Buses,8,715,543,75.9
2006,Other Buses,9,659,502,76.2
2006,Other Buses,10,823,592,71.9
2006,Other Buses,>10,4859,3386,69.7
2006,Taxis,1,20609,20571,99.8
2006,Taxis,2,11478,11466,99.9
2006,Taxis,3,4580,4579,100
2006,Taxis,4,4542,4528,99.7
2006,Taxis,5,938,913,97.3
2006,Taxis,6,412,383,93
2006,Taxis,7,115,98,85.2
2006,Taxis,8,0,0,0
2006,Taxis,9,0,0,0
2006,Taxis,10,0,0,0
2006,Taxis,>10,0,0,0
2006,Goods & Other Vehicles,1,17067,15235,89.3
2006,Goods & Other Vehicles,2,16437,14495,88.2
2006,Goods & Other Vehicles,3,15176,13232,87.2
2006,Goods & Other Vehicles,4,9672,8232,85.1
2006,Goods & Other Vehicles,5,14441,12082,83.7
2006,Goods & Other Vehicles,6,16216,13747,84.8
2006,Goods & Other Vehicles,7,7940,6512,82
2006,Goods & Other Vehicles,8,8194,6588,80.4
2006,Goods & Other Vehicles,9,5401,4221,78.2
2006,Goods & Other Vehicles,10,9822,7574,77.1
2006,Goods & Other Vehicles,>10,39429,31331,79.5
2007,Cars,1,233,224,96.13733906
2007,Cars,2,2870,2778,96.79442509
2007,Cars,3,87144,82155,94.27499311
2007,Cars,4,378,364,96.2962963
2007,Cars,5,14737,13928,94.51041596
2007,Cars,6,209,192,91.86602871
2007,Cars,7,4432,4174,94.17870036
2007,Cars,8,120,104,86.66666667
2007,Cars,9,2793,2574,92.15896885
2007,Cars,10,676,598,88.46153846
2007,Cars,>10,28402,23840,83.93775086
2007,Motorcycles,1,211,200,94.78672986
2007,Motorcycles,2,976,928,95.08196721
